trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
521,False,"{'a': 0.002, 'e': 0.35345468195878016}",25,0,-10.854804176787251,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
522,False,"{'a': 0.002, 'e': 0.3527484790331891}",25,13,12.7529647042108,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
523,False,"{'a': 0.002, 'e': 0.3520436871019846}",20,10,16.62738910002902,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.002, 'e': 0.3513403033459978}",25,11,-0.0035882143646635,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
525,False,"{'a': 0.002, 'e': 0.35063832495169295}",20,6,18.560261951073755,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.002, 'e': 0.3499377491111553}",20,0,-53.62112985423036,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
527,False,"{'a': 0.002, 'e': 0.3492385730220808}",25,0,-51.31834001152338,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",1
528,False,"{'a': 0.002, 'e': 0.348540793887764}",30,1,-38.29769623122529,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 0}",1
529,False,"{'a': 0.002, 'e': 0.3478444089170874}",20,14,11.848963261981767,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.002, 'e': 0.3471494153245103}",20,15,8.697262436200543,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.002, 'e': 0.3464558103300574}",30,15,23.291017745528514,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.002, 'e': 0.34576359115930777}",25,16,4.39236168369293,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
533,False,"{'a': 0.002, 'e': 0.34507275504338375}",30,0,23.56158895399599,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",1
534,False,"{'a': 0.002, 'e': 0.34438329921894}",20,10,-16.873557210297044,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
535,False,"{'a': 0.002, 'e': 0.34369522092815236}",20,6,-44.51470724590273,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
536,False,"{'a': 0.002, 'e': 0.34300851741870664}",20,16,6.992930142497539,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
